Place Name,New Name (if applicable),File Number,Latitude,Longitude,Geonames Link,Wikidata Link,Image url
"Liberal House (30 Ash Street, Sydney, N.S.W.)",,FL4539843 | FL4539846 | FL4539848 | FL4539850 | FL4539853 | FL4539861 | FL4539863 | FL4539865 | FL4539868 | FL4539871 | FL4539875 | FL4539876 | FL4539879 | FL4539880 | FL4539882 | FL4539886 | FL4539888 | FL4539889 | FL4539890 | FL4539894 | FL4539896,,,,,
Lismore (N.S.W.),,FL467695 | FL467697 | FL467699 | FL467700 | FL467701 | FL467703 | FL467705 | FL467706 | FL467708,-28.81354,153.2773,http://www.geonames.org/2160063/lismore.html,https://www.wikidata.org/wiki/Q35001,
"Liverpool Arms (King Street, Sydney, N.S.W.)",Site was demolished,FL4555844,-33.868896,151.20816,,,
"Liverpool Street (Sydney, N.S.W.)",,FL4499149 | FL4499150 | FL4499151,-33.87618,151.20394,http://www.geonames.org/8645169/liverpool-street.html,https://www.wikidata.org/wiki/Q6658578,
Long Bay Gaol (N.S.W.),Long Bay Correctional Centre,FL4493008 | FL4493010 | FL4493011 | FL4493013 | FL4493015 | FL4493022 | FL4565800 | FL4565801 | FL4565802 | FL4565803 | FL4565804 | FL4565805 | FL4565806 | FL4565807 | FL4565808 | FL4565809 | FL4565810 | FL4565811 | FL4565812 | FL4565813 | FL4565814 | FL4565815 | FL4567329 | FL4567331 | FL4567332 | FL4567333 | FL4568361 | FL4568362 | FL4568363 | FL4568365 | FL4568366 | FL4568367 | FL4568369 | FL4568371 | FL4493893 | FL4493895 | FL4493896 | FL4493898 | FL4493900 | FL4493901 | FL4493903 | FL4493906 | FL4493913 | FL4551902 | FL4551904 | FL4551905 | FL4551906 | FL4551908,,,,https://www.wikidata.org/wiki/Q14934884,
"Macquarie Street (Sydney, N.S.W.)",,FL4517830 | FL4517831 | FL4517833 | FL4517834 | FL4517836 | FL4517839 | FL4517843 | FL4517845 | FL4517846 | FL4517847 | FL4517849 | FL4517851 | FL4517853 ,-33.86986,151.21193,http://www.geonames.org/8645353/macquarie-street.html,https://www.wikidata.org/wiki/Q6725008,
Manly (N.S.W.),,FL4443786 | FL4443787 | FL4443791 | FL4443792 | FL4443793 | FL4443794 | FL4443796 | FL4443799 | FL4443801 | FL4443803 | FL4443805 | FL4443806 | FL4443807 | FL4443810 | FL4443812 | FL4443814 | FL4443815 | FL4443818 | FL4443820 | FL4443822 | FL4443824 | FL4443826 | FL4443827 | FL4443828 | FL4443829 | FL4443831 | FL4443833 | FL4443834 | FL4443836 | FL4443838 | FL4443841 | FL4443842 | FL4443844 | FL4443844 | FL4443845 | FL4443846 | FL4443848 | FL4443850 | FL4466255 | FL4466256 | FL4466257 | FL4466258 | FL4466259 | FL4466260 | FL4466261 | FL4466262 | FL4466263 | FL4466264 | FL4466265 | FL4466266 | FL4466267 | FL4466268 | FL4466269 | FL4466270 | FL4466271 | FL4466272 | FL4466273 | FL4466274 | FL4466275 | FL4466279 | FL4466280 | FL4466282 | FL4466284 | FL4466285 | FL4466287 | FL4466289 | FL4466290 | FL4466291 | FL4466293 | FL4466294 | FL4466297 | FL4466300 | FL4466302 | FL4466305 | FL4466306 | FL4466308 | FL4466310 | FL4466312 | FL4471302 | FL4471304 | FL4471305 | FL4471309 | FL4471310 | FL4471313 | FL4471316 | FL4471318 | FL4471320 | FL4471323 | FL4471325 | FL4471326 | FL4471329 | FL4471332 | FL4471334 | FL4471338 | FL4471339 | FL4471340 | FL4471341 | FL4471343 | FL4471345 | FL4471349 | FL4471352 | FL4471354 | FL4471356 | FL4471360 | FL4471361 | FL4471367 | FL4471369 | FL4471373 | FL4471374 | FL4471375 | FL4471376,-33.79798,151.28826,http://www.geonames.org/2158867/manly.html,https://www.wikidata.org/wiki/Q509716,
"Martin Place (Sydney, N.S.W.)",,FL4520807 | FL4520808 | FL4520809 | FL4520810 | FL4520811 | FL4520812 | FL4520813 | FL4520814 | FL4520815 | FL4520816 | FL4520817 | FL4520818 | FL4520819 | FL4520820 | FL4520821 | FL4520822 | FL4520823 | FL4520824 | FL4520825 | FL4520826 | FL4520827 | FL4520828 | FL4520829 | FL4520830 | FL4520831 | FL4520832 | FL4520833 | FL4520834 | FL4520835 | FL4520836 | FL4565397 | FL4565399 | FL4565400 | FL4565401 | FL4565404 | FL4565407 | FL4565407 | FL4565410 | FL4565412 | FL4565417 | FL4565420 | ,-33.86748,151.20751,http://www.geonames.org/8645356/martin-place.html,https://www.wikidata.org/wiki/Q761633,
McMahons Point (N.S.W.),,FL4538830 | FL4538831 | FL4538832 | FL4538833 | FL4538834,-33.84492,151.20307,http://www.geonames.org/8348676/mcmahons-point.html,https://www.wikidata.org/wiki/Q6802293,
Melbourne (Vic.),,,,,,https://www.wikidata.org/wiki/Q3141,
